,time,tx_count
1904,2014-03-27 00:00:00+00:00,71719
1905,2014-03-28 00:00:00+00:00,67079
1906,2014-03-29 00:00:00+00:00,53270
1907,2014-03-30 00:00:00+00:00,56853
1908,2014-03-31 00:00:00+00:00,65042
1909,2014-04-01 00:00:00+00:00,64136
1910,2014-04-02 00:00:00+00:00,66913
1911,2014-04-03 00:00:00+00:00,67024
1912,2014-04-04 00:00:00+00:00,65692
1913,2014-04-05 00:00:00+00:00,55795
1914,2014-04-06 00:00:00+00:00,50010
1915,2014-04-07 00:00:00+00:00,65810
1916,2014-04-08 00:00:00+00:00,67841
1917,2014-04-09 00:00:00+00:00,65153
1918,2014-04-10 00:00:00+00:00,68027
1919,2014-04-11 00:00:00+00:00,65732
1920,2014-04-12 00:00:00+00:00,47740
1921,2014-04-13 00:00:00+00:00,51168
1922,2014-04-14 00:00:00+00:00,70219
1923,2014-04-15 00:00:00+00:00,72809
1924,2014-04-16 00:00:00+00:00,68594
1925,2014-04-17 00:00:00+00:00,65190
1926,2014-04-18 00:00:00+00:00,56996
1927,2014-04-19 00:00:00+00:00,53515
1928,2014-04-20 00:00:00+00:00,49043
1929,2014-04-21 00:00:00+00:00,58110
1930,2014-04-22 00:00:00+00:00,78042
1931,2014-04-23 00:00:00+00:00,73954
1932,2014-04-24 00:00:00+00:00,72694
1933,2014-04-25 00:00:00+00:00,72650
1934,2014-04-26 00:00:00+00:00,52175
1935,2014-04-27 00:00:00+00:00,52629
1936,2014-04-28 00:00:00+00:00,64546
1937,2014-04-29 00:00:00+00:00,65057
1938,2014-04-30 00:00:00+00:00,63638
1939,2014-05-01 00:00:00+00:00,59658
1940,2014-05-02 00:00:00+00:00,59981
1941,2014-05-03 00:00:00+00:00,54157
1942,2014-05-04 00:00:00+00:00,51769
1943,2014-05-05 00:00:00+00:00,67763
1944,2014-05-06 00:00:00+00:00,77228
1945,2014-05-07 00:00:00+00:00,69825
1946,2014-05-08 00:00:00+00:00,68937
1947,2014-05-09 00:00:00+00:00,66293
1948,2014-05-10 00:00:00+00:00,56416
1949,2014-05-11 00:00:00+00:00,52590
1950,2014-05-12 00:00:00+00:00,74418
1951,2014-05-13 00:00:00+00:00,69357
1952,2014-05-14 00:00:00+00:00,69808
1953,2014-05-15 00:00:00+00:00,74893
1954,2014-05-16 00:00:00+00:00,65433
1955,2014-05-17 00:00:00+00:00,53511
1956,2014-05-18 00:00:00+00:00,49912
1957,2014-05-19 00:00:00+00:00,64094
1958,2014-05-20 00:00:00+00:00,71520
1959,2014-05-21 00:00:00+00:00,68905
1960,2014-05-22 00:00:00+00:00,73343
1961,2014-05-23 00:00:00+00:00,72810
1962,2014-05-24 00:00:00+00:00,52872
1963,2014-05-25 00:00:00+00:00,57566
1964,2014-05-26 00:00:00+00:00,67007
1965,2014-05-27 00:00:00+00:00,68524
1966,2014-05-28 00:00:00+00:00,72338
1967,2014-05-29 00:00:00+00:00,65362
1968,2014-05-30 00:00:00+00:00,65127
1969,2014-05-31 00:00:00+00:00,52172
1970,2014-06-01 00:00:00+00:00,55222
1971,2014-06-02 00:00:00+00:00,64434
1972,2014-06-03 00:00:00+00:00,69695
1973,2014-06-04 00:00:00+00:00,65054
1974,2014-06-05 00:00:00+00:00,66945
1975,2014-06-06 00:00:00+00:00,62342
1976,2014-06-07 00:00:00+00:00,51210
1977,2014-06-08 00:00:00+00:00,48308
1978,2014-06-09 00:00:00+00:00,59875
1979,2014-06-10 00:00:00+00:00,63316
1980,2014-06-11 00:00:00+00:00,62827
1981,2014-06-12 00:00:00+00:00,64744
1982,2014-06-13 00:00:00+00:00,64739
1983,2014-06-14 00:00:00+00:00,53596
1984,2014-06-15 00:00:00+00:00,53916
1985,2014-06-16 00:00:00+00:00,68262
1986,2014-06-17 00:00:00+00:00,70077
1987,2014-06-18 00:00:00+00:00,63888
1988,2014-06-19 00:00:00+00:00,62454
1989,2014-06-20 00:00:00+00:00,57381
1990,2014-06-21 00:00:00+00:00,51173
1991,2014-06-22 00:00:00+00:00,50104
1992,2014-06-23 00:00:00+00:00,60216
1993,2014-06-24 00:00:00+00:00,64883
1994,2014-06-25 00:00:00+00:00,64397
1995,2014-06-26 00:00:00+00:00,61432
1996,2014-06-27 00:00:00+00:00,62966
1997,2014-06-28 00:00:00+00:00,54392
1998,2014-06-29 00:00:00+00:00,49094
1999,2014-06-30 00:00:00+00:00,70231
2000,2014-07-01 00:00:00+00:00,69443
2001,2014-07-02 00:00:00+00:00,66728
2002,2014-07-03 00:00:00+00:00,62849
2003,2014-07-04 00:00:00+00:00,59494
2004,2014-07-05 00:00:00+00:00,49954
2005,2014-07-06 00:00:00+00:00,52139
2006,2014-07-07 00:00:00+00:00,64686
2007,2014-07-08 00:00:00+00:00,70117
2008,2014-07-09 00:00:00+00:00,68518
2009,2014-07-10 00:00:00+00:00,64605
2010,2014-07-11 00:00:00+00:00,59077
